329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569
,LU BASELINE FORESTLAND,,,,LU BASELINE CROPLAND,,,,LU BASELINE GRASSLAND,,,,LU BASELINE WETLANDS,,,,LU BASELINE SETTLEMENTS,,,,LU BASELINE OTHER LAND,,,,LUC TO FORESTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUC TO CROPLAND,,,,,,,,,,,,,,,,,,,,,,,,LUC TO GRASSLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUC TO OTHER WETLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUC TO SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUC TO OTHERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUC LAND USE REMAINING UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,land_use_baseline_forestland,land_use_baseline_forestland_annual_change,land_use_baseline_forestland_annual_change,land_use_baseline_forestland_annual_change,land_use_baseline_cropland,land_use_baseline_cropland_annual_change,land_use_baseline_cropland_annual_change,land_use_baseline_cropland_annual_change,land_use_baseline_grassland,land_use_baseline_grassland_annual_change,land_use_baseline_grassland_annual_change,land_use_baseline_grassland_annual_change,land_use_baseline_wetlands,land_use_baseline_wetlands_annual_change,land_use_baseline_wetlands_annual_change,land_use_baseline_wetlands_annual_change,land_use_baseline_settlements,land_use_baseline_settlements_annual_change,land_use_baseline_settlements_annual_change,land_use_baseline_settlements_annual_change,land_use_baseline_other_land,land_use_baseline_other_land_annual_change,land_use_baseline_other_land_annual_change,land_use_baseline_other_land_annual_change,cropland_to_forestland,cropland_to_forestland,cropland_to_forestland,cropland_to_forestland,cropland_to_forestland,cropland_to_forestland,grassland_to_forestland,grassland_to_forestland,grassland_to_forestland,grassland_to_forestland,grassland_to_forestland,grassland_to_forestland,wetland_to_forestland,wetland_to_forestland,wetland_to_forestland,wetland_to_forestland,wetland_to_forestland,wetland_to_forestland,settlement_to_forestland,settlement_to_forestland,settlement_to_forestland,settlement_to_forestland,settlement_to_forestland,settlement_to_forestland,otherland_to_forestland,otherland_to_forestland,otherland_to_forestland,otherland_to_forestland,otherland_to_forestland,otherland_to_forestland,forestland_to_cropland,forestland_to_cropland,forestland_to_cropland,forestland_to_cropland,forestland_to_cropland,forestland_to_cropland,grassland_to_cropland,grassland_to_cropland,grassland_to_cropland,grassland_to_cropland,grassland_to_cropland,grassland_to_cropland,wetland_to_cropland,wetland_to_cropland,wetland_to_cropland,wetland_to_cropland,wetland_to_cropland,wetland_to_cropland,settlement_to_cropland,settlement_to_cropland,settlement_to_cropland,settlement_to_cropland,settlement_to_cropland,settlement_to_cropland,otherland_to_cropland,otherland_to_cropland,otherland_to_cropland,otherland_to_cropland,otherland_to_cropland,otherland_to_cropland,forestland_to_grassland,forestland_to_grassland,forestland_to_grassland,forestland_to_grassland,forestland_to_grassland,forestland_to_grassland,cropland_to_grassland,cropland_to_grassland,cropland_to_grassland,cropland_to_grassland,cropland_to_grassland,cropland_to_grassland,wetland_to_grassland,wetland_to_grassland,wetland_to_grassland,wetland_to_grassland,wetland_to_grassland,wetland_to_grassland,settlement_to_grassland,settlement_to_grassland,settlement_to_grassland,settlement_to_grassland,settlement_to_grassland,settlement_to_grassland,otherland_to_grassland,otherland_to_grassland,otherland_to_grassland,otherland_to_grassland,otherland_to_grassland,otherland_to_grassland,land_to_peat_extraction,land_to_peat_extraction,land_to_peat_extraction,land_to_peat_extraction,land_to_peat_extraction,land_to_peat_extraction,peatland_restoration,peatland_restoration,peatland_restoration,peatland_restoration,peatland_restoration,peatland_restoration,forestland_to_other_wetland,forestland_to_other_wetland,forestland_to_other_wetland,forestland_to_other_wetland,forestland_to_other_wetland,forestland_to_other_wetland,cropland_to_other_wetland,cropland_to_other_wetland,cropland_to_other_wetland,cropland_to_other_wetland,cropland_to_other_wetland,cropland_to_other_wetland,grassland_to_other_wetland,grassland_to_other_wetland,grassland_to_other_wetland,grassland_to_other_wetland,grassland_to_other_wetland,grassland_to_other_wetland,forestland_to_settlement,forestland_to_settlement,forestland_to_settlement,forestland_to_settlement,forestland_to_settlement,forestland_to_settlement,cropland_to_settlement,cropland_to_settlement,cropland_to_settlement,cropland_to_settlement,cropland_to_settlement,cropland_to_settlement,grassland_to_settlement,grassland_to_settlement,grassland_to_settlement,grassland_to_settlement,grassland_to_settlement,grassland_to_settlement,wetland_to_settlement,wetland_to_settlement,wetland_to_settlement,wetland_to_settlement,wetland_to_settlement,wetland_to_settlement,otherland_to_settlement,otherland_to_settlement,otherland_to_settlement,otherland_to_settlement,otherland_to_settlement,otherland_to_settlement,forestland_to_otherland,forestland_to_otherland,forestland_to_otherland,forestland_to_otherland,forestland_to_otherland,forestland_to_otherland,cropland_to_otherland,cropland_to_otherland,cropland_to_otherland,cropland_to_otherland,cropland_to_otherland,cropland_to_otherland,grassland_to_otherland,grassland_to_otherland,grassland_to_otherland,grassland_to_otherland,grassland_to_otherland,grassland_to_otherland,wetland_to_otherland,wetland_to_otherland,wetland_to_otherland,wetland_to_otherland,wetland_to_otherland,wetland_to_otherland,settlement_to_otherland,settlement_to_otherland,settlement_to_otherland,settlement_to_otherland,settlement_to_otherland,settlement_to_otherland,forestland_remaining_forestland,forestland_remaining_forestland,forestland_remaining_forestland,forestland_remaining_forestland,forestland_remaining_forestland,forestland_remaining_forestland,cropland_remaining_cropland,cropland_remaining_cropland,cropland_remaining_cropland,cropland_remaining_cropland,cropland_remaining_cropland,cropland_remaining_cropland,grassland_remaining_grassland,grassland_remaining_grassland,grassland_remaining_grassland,grassland_remaining_grassland,grassland_remaining_grassland,grassland_remaining_grassland,peat_extraction_remaining_peat_extraction,peat_extraction_remaining_peat_extraction,peat_extraction_remaining_peat_extraction,peat_extraction_remaining_peat_extraction,peat_extraction_remaining_peat_extraction,peat_extraction_remaining_peat_extraction,wetland_remaining_wetland,wetland_remaining_wetland,wetland_remaining_wetland,wetland_remaining_wetland,wetland_remaining_wetland,wetland_remaining_wetland,settlement_remaining_settlement,settlement_remaining_settlement,settlement_remaining_settlement,settlement_remaining_settlement,settlement_remaining_settlement,settlement_remaining_settlement
Specification,,2021-30,2031-40,2041-50,,2021-30,2031-40,2041-50,,2021-30,2031-40,2041-50,,2021-30,2031-40,2041-50,,2021-30,2031-40,2041-50,,2021-30,2031-40,2041-50,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil,aboveground_biomass,belowground_biomass,dead_wood,litter,mineral_soil,organic_soil
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year of data origin,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
source,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,from local dataset only,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,FAO,FAO,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,FAO,FAO,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,FAO,FAO,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,FAO,FAO,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021,NIR 2021
country,CSC_COL1,CSC_COL2,CSC_COL3,CSC_COL4,CSC_COL5,CSC_COL6,CSC_COL7,CSC_COL8,CSC_COL9,CSC_COL10,CSC_COL11,CSC_COL12,CSC_COL13,CSC_COL14,CSC_COL15,CSC_COL16,CSC_COL17,CSC_COL18,CSC_COL19,CSC_COL20,CSC_COL21,CSC_COL22,CSC_COL23,CSC_COL24,CSC_COL25,CSC_COL26,CSC_COL27,CSC_COL28,CSC_COL29,CSC_COL30,CSC_COL31,CSC_COL32,CSC_COL33,CSC_COL34,CSC_COL35,CSC_COL36,CSC_COL37,CSC_COL38,CSC_COL39,CSC_COL40,CSC_COL41,CSC_COL42,CSC_COL43,CSC_COL44,CSC_COL45,CSC_COL46,CSC_COL47,CSC_COL48,CSC_COL49,CSC_COL50,CSC_COL51,CSC_COL52,CSC_COL53,CSC_COL54,CSC_COL55,CSC_COL56,CSC_COL57,CSC_COL58,CSC_COL59,CSC_COL60,CSC_COL61,CSC_COL62,CSC_COL63,CSC_COL64,CSC_COL65,CSC_COL66,CSC_COL67,CSC_COL68,CSC_COL69,CSC_COL70,CSC_COL71,CSC_COL72,CSC_COL73,CSC_COL74,CSC_COL75,CSC_COL76,CSC_COL77,CSC_COL78,CSC_COL79,CSC_COL80,CSC_COL81,CSC_COL82,CSC_COL83,CSC_COL84,CSC_COL85,CSC_COL86,CSC_COL87,CSC_COL88,CSC_COL89,CSC_COL90,CSC_COL91,CSC_COL92,CSC_COL93,CSC_COL94,CSC_COL95,CSC_COL96,CSC_COL97,CSC_COL98,CSC_COL99,CSC_COL100,CSC_COL101,CSC_COL102,CSC_COL103,CSC_COL104,CSC_COL105,CSC_COL106,CSC_COL107,CSC_COL108,CSC_COL109,CSC_COL110,CSC_COL111,CSC_COL112,CSC_COL113,CSC_COL114,CSC_COL115,CSC_COL116,CSC_COL117,CSC_COL118,CSC_COL119,CSC_COL120,CSC_COL121,CSC_COL122,CSC_COL123,CSC_COL124,CSC_COL125,CSC_COL126,CSC_COL127,CSC_COL128,CSC_COL129,CSC_COL130,CSC_COL131,CSC_COL132,CSC_COL133,CSC_COL134,CSC_COL135,CSC_COL136,CSC_COL137,CSC_COL138,CSC_COL139,CSC_COL140,CSC_COL141,CSC_COL142,CSC_COL143,CSC_COL144,CSC_COL145,CSC_COL146,CSC_COL147,CSC_COL148,CSC_COL149,CSC_COL150,CSC_COL151,CSC_COL152,CSC_COL153,CSC_COL154,CSC_COL155,CSC_COL156,CSC_COL157,CSC_COL158,CSC_COL159,CSC_COL160,CSC_COL161,CSC_COL162,CSC_COL163,CSC_COL164,CSC_COL165,CSC_COL166,CSC_COL167,CSC_COL168,CSC_COL169,CSC_COL170,CSC_COL171,CSC_COL172,CSC_COL173,CSC_COL174,CSC_COL175,CSC_COL176,CSC_COL177,CSC_COL178,CSC_COL179,CSC_COL180,CSC_COL181,CSC_COL182,CSC_COL183,CSC_COL184,CSC_COL185,CSC_COL186,CSC_COL187,CSC_COL188,CSC_COL189,CSC_COL190,CSC_COL191,CSC_COL192,CSC_COL193,CSC_COL194,CSC_COL195,CSC_COL196,CSC_COL197,CSC_COL198,CSC_COL199,CSC_COL200,CSC_COL201,CSC_COL202,CSC_COL203,CSC_COL204,CSC_COL205,CSC_COL206,CSC_COL207,CSC_COL208,CSC_COL209,CSC_COL210,CSC_COL211,CSC_COL212,CSC_COL213,CSC_COL214,CSC_COL215,CSC_COL216,CSC_COL217,CSC_COL218,CSC_COL219,CSC_COL220,CSC_COL221,CSC_COL222,CSC_COL223,CSC_COL224,CSC_COL225,CSC_COL226,CSC_COL227,CSC_COL228,CSC_COL229,CSC_COL230,CSC_COL231,CSC_COL232,CSC_COL233,CSC_COL234,CSC_COL235,CSC_COL236,CSC_COL237,CSC_COL238,CSC_COL239,CSC_COL240
Austria,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.199436883760,0.000000000000,0.015905731938,1.390196225200,1.203078114136,0.000000000000,1.191226959730,0.000000000000,0.015896502918,1.246544701418,-0.874971282622,0.000000000000,1.217949530983,0.000000000000,0.015926542555,0.783688995590,0.000000000000,0.000000000000,1.223803048595,0.000000000000,0.015933122668,1.211630339592,2.644833732021,0.000000000000,1.170421305139,0.000000000000,0.015873114663,1.211484627072,2.905787494570,0.000000000000,-83.840000000000,-20.910000000000,-0.680684445414,0.000000000000,-0.790409691550,0.000000000000,0.045254834568,0.000000000000,0.000000000000,0.000000000000,-0.988850932881,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-83.840000000000,-20.910000000000,-0.848673350762,0.000000000000,0.816751970139,0.000000000000,-0.064304876859,0.000000000000,0.000000000000,0.000000000000,0.997638354165,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-2.901387180292,0.000000000000,-1.177844422383,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.134235480897,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-83.840000000000,-20.910000000000,-0.569822464972,0.000000000000,-2.930842050574,0.000000000000,0.638858951467,0.000000000000,0.000000000000,0.000000000000,-0.522239293006,0.000000000000,0.401287622734,0.000000000000,0.000000000000,0.000000000000,-1.522239293006,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-83.840000000000,-20.910000000000,-0.729388738195,0.000000000000,-3.490954419919,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.183105895667,0.000000000000,0.000000000000,0.000000000000,0.062017072703,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.304725830803,0.000000000000,0.058437398040,0.000000000000,-0.181292326547,0.000000000000,0.000057927565,0.000000000000,0.000000000000,0.000000000000,0.021908577311,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001620000000,-6.402400000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
Belgium,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.843321008396,0.000000000000,0.021170067025,0.084234582479,2.093192939084,0.000000000000,1.699343380572,0.000000000000,0.025750155059,0.102458511710,0.666125960145,0.000000000000,2.072371920169,0.000000000000,0.033787728138,0.134439591960,-0.154339207787,0.000000000000,1.253851716873,0.000000000000,0.024089263631,0.095849912131,1.525588522030,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-86.400000000000,-17.800000000000,-0.085508252706,0.000000000000,-2.255517785797,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-1.517979296477,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-2.628018867925,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-86.400000000000,-17.800000000000,-0.557263170143,0.000000000000,-0.794804895229,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.062212193111,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.306815519236,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.799174328292,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-86.400000000000,-17.800000000000,-0.148268898946,0.000000000000,-2.213667039467,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-1.628171047152,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-2.349485815684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-86.400000000000,-17.800000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.690117714958,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000159963572,0.000000000000,0.000000000000,0.000000000000,-0.039389525902,-10.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.182207271236,-1.890986601705,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
