,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
,POPULATION,,,GRID ELECTRICITY,,,,BUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METRO,,,,,,TRAM,,,,,,PASSENGER TRAIN,,,,,,,,,,,,,FREIGHT ON RAILS,,,,,,,,,,,,ROAD FREIGHT,,,,,,,,,,INLAND WATERWAYS TRANSPORT,,,,,,,,,,TECHNOLOGY DEVELOPMENT FACTOR,,
Parameter,Annual_Change_Population,Annual_Change_Population,Annual_Change_Population,grid_electricity_emission_factor,Annual_Change_Grid_Electricity_EF,Annual_Change_Grid_Electricity_EF,Annual_Change_Grid_Electricity_EF,Passenger-km_per_capita_Bus,Occupancy_Rate_Bus,Annual_Change_Bus,Annual_Change_Bus,Annual_Change_Bus,Propulsion_Share_Bus,Propulsion_Share_Bus,Propulsion_Share_Bus,Propulsion_Share_Bus,Propulsion_Share_Bus,CF_Bus,CF_Bus,CF_Bus,CF_Bus,CF_Bus,EF_Street_Driving_Bus,EF_Street_Driving_Bus,EF_Street_Driving_Bus,EF_Street_Driving_Bus,Electricity_Consumption_Street_Driving_Bus,EF_Road_Driving_Bus,EF_Road_Driving_Bus,EF_Road_Driving_Bus,EF_Road_Driving_Bus,Electricity_Consumption_Road_Driving_Bus,Share_of_electric_buses,Share_of_electric_buses,Share_of_electric_buses,Share_of_electric_buses,Share_of_electric_buses,Share_of_electric_buses,Share_of_electric_buses,Share_road_driving,Share_street_driving,Share_road_driving,Share_street_driving,Share_road_driving,Share_street_driving,Share_road_driving,Share_street_driving,Share_road_driving,Share_street_driving,Passenger-km_per_capita_Car,Occupancy_Rate_Car,Annual_Change_Car,Annual_Change_Car,Annual_Change_Car,EF_Petrol_CAR,EF_Diesel_CAR,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,Propulsion_Share_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Street_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,EF_Road_Driving_Car,CF_Car,CF_Car,CF_Car,CF_Car,CF_Car,Passenger-km_per_capita_Metro,Occupancy_Rate_Metro,Electricity_Consumption_Metro,Annual_Change_Metro,Annual_Change_Metro,Annual_Change_Metro,Passenger-km_per_capita_Tram,Occupancy_Rate_Tram,Electricity_Consumption_Tram,Annual_Change_Tram,Annual_Change_Tram,Annual_Change_Tram,Passenger-km_per_capita_Train,Occupancy_Rate_Train,EF_Diesel_Train,Energy_Consumption_Electric_Train,Share_of_Electric_Engines,Annual_Change_Passenger_Train,Annual_Change_Passenger_Train,Annual_Change_Passenger_Train,CF_Passenger_Train,CF_Passenger_Train,CF_Passenger_Train,CF_Passenger_Train,CF_Passenger_Train,Vehicle-km_per_capita_Rail_Freight,EF_Diesel_Train,Energy_Consumption_Electric_Train,SHARE OF ELECTRIC ENGINES (%),Annual_Change_Rail_Freight,Annual_Change_Rail_Freight,Annual_Change_Rail_Freight,CF_Rail_Freight,CF_Rail_Freight,CF_Rail_Freight,CF_Rail_Freight,CF_Rail_Freight,Vehicle-km_per_capita_Road_Freight,ROAD TRANSPORT EMISSION FACTOR,Annual_Change_Road_Freight,Annual_Change_Road_Freight,Annual_Change_Road_Freight,CF_Road_Freight,CF_Road_Freight,CF_Road_Freight,CF_Road_Freight,CF_Road_Freight,Vehicle-km_per_capita_Waterways_Transport,EF_Inland_Waterways,Annual_Change_Waterways_Transport,Annual_Change_Waterways_Transport,Annual_Change_Waterways_Transport,CF_Waterways_Transport,CF_Waterways_Transport,CF_Waterways_Transport,CF_Waterways_Transport,CF_Waterways_Transport,Annual_Change_Vehicle_Efficiency,Annual_Change_Vehicle_Efficiency,Annual_Change_Vehicle_Efficiency
Specification,2021-30,2031-40,2041-50,,2021-30,2031-40,2041-50,,,2020-30,2030-40,2040-50,Petrol,LPG,Diesel,CNG,Electricity,metropolitan,city,suburban,town,rural,Petrol,LPG,Diesel,CNG,Electricity,Petrol,LPG,Diesel,CNG,Electricity,2020,2025,2030,2035,2040,2045,2050,METROPOLITAN_CENTER,METROPOLITAN_CENTER,URBAN,URBAN,SUBURBAN,SUBURBAN,TOWN,TOWN,RURAL,RURAL,,,2021-30,2031-40,2041-50,,,LPG,CNG,NGV,Petrol,Hybrid_electric-petrol,petrol_PHEV,Diesel,Hybrid_electric-diesel,diesel_PHEV,Hydrogen_fuel-cell,Bioethanol,Biodiesel,Bi-Fuel,Other,BEV ,LPG,CNG,NGV,Petrol,Hybrid_electric-petrol,petrol_PHEV,Diesel,Hybrid_electric-diesel,diesel_PHEV,Hydrogen_fuel-cell,Bioethanol,Biodiesel,Bi-Fuel,Other,BEV ,LPG,CNG,NGV,Petrol,Hybrid_electric-petrol,petrol_PHEV,Diesel,Hybrid_electric-diesel,diesel_PHEV,Hydrogen_fuel-cell,Bioethanol,Biodiesel,Bi-Fuel,Other,BEV ,metropolitan,city,suburban,town,rural,,,,2021-30,2031-40,2041-50,,,,2021-30,2031-40,2041-50,,,,,,2021-30,2031-40,2041-50,,,,,,,,,,2021-30,2031-40,2041-50,metropolitan,city,suburban,town,rural,,,2021-30,2031-40,2041-50,metropolitan,city,suburban,town,rural,,,2021-30,2031-40,2041-50,metropolitan,city,suburban,town,rural,2021-30,2031-40,2041-50
unit,%,%,%,gCO2/kWh,%,%,%,"pkm/(capita, a)",passengers/vehicle,%,%,%,%,%,%,%,%,-,-,-,-,-,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,kWh/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,kWh/vkm,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,"pkm/(capita, a)",,%,%,%,gCO2e/vkm,gCO2e/vkm,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,KWh/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,gCO2e/vkm,KWh/vkm,-,-,-,-,-,"pkm/(capita, a)",passengers/vehicle,kWh/vkm,%,%,%,"pkm/(capita, a)",passengers/vehicle,kWh/vkm,%,%,%,"pkm/(capita, a)",passengers/vehicle,gCO2e/vkm,kWh/vkm,%,%,%,%,metropolitan,city,suburban,town,rural,"vehicle-km/(capita, a)",gCO2e/vkm,kWh/vkm,%,%,%,%,-,-,-,-,-,"vehicle-km/(capita, a)",gCO2e/vkm,%,%,%,-,-,-,-,-,"vehicle-km/(capita, a)",gCO2e/vkm,%,%,%,-,-,-,-,-,%,%,%
year of data origin,2016,2016,2016,2013,2016,2016,2016,,,2016,2016,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2016,2016,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,2016,,,,2016,2016,2016,,,,,,2016,2016,2016,,,,,,,,,,2016,2016,2016,,,,,,,,2016,2016,2016,,,,,,,,2016,2016,2016,,,,,,,,
source,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,Eurostat,,EU refernce scenario 2016,EU refernce scenario 2017,EU refernce scenario 2018,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACCS,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,,,,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,,,,Eurostat,,,Eurostat,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,,,,Eurostat,Eurostat,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,,,,Eurostat,Eurostat,EU refernce scenario 2016,EU refernce scenario 2016,EU refernce scenario 2016,,,,,,,,
country,POP_COL1,POP_COL2,POP_COL3,ENE_COL1,ENE_COL2,ENE_COL3,ENE_COL4,BUS_COL1,BUS_COL2,BUS_COL3,BUS_COL4,BUS_COL5,BUS_COL6,BUS_COL7,BUS_COL8,BUS_COL9,BUS_COL10,BUS_COL11,BUS_COL12,BUS_COL13,BUS_COL14,BUS_COL15,BUS_COL16,BUS_COL17,BUS_COL18,BUS_COL19,BUS_COL20,BUS_COL21,BUS_COL22,BUS_COL23,BUS_COL24,BUS_COL25,BUS_COL26,BUS_COL27,BUS_COL28,BUS_COL29,BUS_COL30,BUS_COL31,BUS_COL32,BUS_COL33,BUS_COL34,BUS_COL35,BUS_COL36,BUS_COL37,BUS_COL38,BUS_COL39,BUS_COL40,BUS_COL41,BUS_COL42,CAR_COL1,CAR_COL2,CAR_COL4,CAR_COL5,CAR_COL6,CAR_COL7,CAR_COL8,CAR_COL9,CAR_COL10,CAR_COL11,CAR_COL12,CAR_COL13,CAR_COL14,CAR_COL15,CAR_COL16,CAR_COL17,CAR_COL18,CAR_COL19,CAR_COL20,CAR_COL21,CAR_COL22,CAR_COL23,CAR_COL24,CAR_COL25,CAR_COL26,CAR_COL27,CAR_COL28,CAR_COL29,CAR_COL30,CAR_COL31,CAR_COL32,CAR_COL33,CAR_COL34,CAR_COL35,CAR_COL36,CAR_COL37,CAR_COL38,CAR_COL39,CAR_COL40,CAR_COL41,CAR_COL42,CAR_COL43,CAR_COL44,CAR_COL45,CAR_COL46,CAR_COL47,CAR_COL48,CAR_COL49,CAR_COL50,CAR_COL51,CAR_COL52,CAR_COL53,CAR_COL54,CAR_COL55,CAR_COL56,CAR_COL57,CAR_COL58,METRO_COL1,METRO_COL2,METRO_COL3,METRO_COL4,METRO_COL5,METRO_COL6,TRAM_COL1,TRAM_COL2,TRAM_COL3,TRAM_COL4,TRAM_COL5,TRAM_COL6,TRAIN_COL1,TRAIN_COL2,TRAIN_COL3,TRAIN_COL4,TRAIN_COL5,TRAIN_COL6,TRAIN_COL7,TRAIN_COL8,TRAIN_COL9,TRAIN_COL10,TRAIN_COL11,TRAIN_COL12,TRAIN_COL13,RAIL_TRN_COL1,RAIL_TRN_COL2,RAIL_TRN_COL3,RAIL_TRN_COL4,RAIL_TRN_COL5,RAIL_TRN_COL6,RAIL_TRN_COL7,RAIL_TRN_COL8,RAIL_TRN_COL9,RAIL_TRN_COL10,RAIL_TRN_COL11,RAIL_TRN_COL12,ROAD_TRN_COL1,ROAD_TRN_COL2,ROAD_TRN_COL3,ROAD_TRN_COL4,ROAD_TRN_COL5,ROAD_TRN_COL6,ROAD_TRN_COL7,ROAD_TRN_COL8,ROAD_TRN_COL9,ROAD_TRN_COL10,WATER_TRN_COL1,WATER_TRN_COL2,WATER_TRN_COL3,WATER_TRN_COL4,WATER_TRN_COL5,WATER_TRN_COL6,WATER_TRN_COL7,WATER_TRN_COL8,WATER_TRN_COL9,WATER_TRN_COL10,TECH_COL1,TECH_COL2,TECH_COL3
Austria,0.5000000000,0.2000000000,0.2000000000,263.0275229358,-0.9000000000,-2.5000000000,-2.5000000000,1176.4430275625,12.0000000000,0.8000000000,0.7000000000,0.7000000000,0.7000000000,0.0000000000,99.2000000000,0.1000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.4000000000,0.6000000000,0.8000000000,1.0000000000,1.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,8970.0418125242,1.1800000000,0.6000000000,0.6000000000,0.6000000000,0.1696193778,0.1762916020,0.0000399554,0.0472472343,0.5340435801,42.7370512612,0.5717414791,0.1092180253,55.4646970264,0.0443504694,0.0048545784,0.0004794645,,,0.0701216881,,0.4161552378,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,22.3647176439,18.0000000000,402.5649175906,1.4000000000,0.8000000000,0.8000000000,22.3647176439,18.0000000000,63.1266055046,1.4000000000,0.8000000000,0.8000000000,1478.2824026517,179.9000000000,3226.2337334254,,85.4728577726,1.4000000000,0.8000000000,0.8000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,95.7080864235,,,4124.9512817830,1.4000000000,1.1000000000,1.1000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,208.2908138429,500.0000000000,1.3000000000,0.8000000000,0.8000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,179.7895902051,29.0000000000,1.0000000000,0.9000000000,0.9000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Belgium,0.9000000000,0.7000000000,0.7000000000,204.0628272251,6.7000000000,-0.5000000000,-0.5000000000,1177.3412548632,12.0000000000,0.1000000000,0.2000000000,0.2000000000,0.7000000000,0.0000000000,99.2000000000,0.1000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.3000000000,0.4000000000,0.6000000000,1.0000000000,1.2000000000,1.5000000000,1.7000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,9484.5160815676,1.5100000000,0.8000000000,0.6000000000,0.6000000000,0.1722273083,0.1733434398,0.0003024242,0.0887615123,1.0533436023,45.5249950268,1.7214155336,,50.5036371554,0.1432650795,,,0.0018313467,,,0.7047492701,0.2576990489,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,3.3537758860,18.0000000000,60.3679659473,1.7000000000,1.7000000000,1.7000000000,3.3537758860,18.0000000000,253.0379057592,1.7000000000,1.7000000000,1.7000000000,925.9866880984,179.9000000000,2613.2170680628,,50.0000000000,1.7000000000,1.7000000000,1.7000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,30.6862889800,,,6734.2330052356,3.2000000000,1.7000000000,1.7000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,192.2772671008,500.0000000000,1.8000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,638.7665407722,29.0000000000,1.6000000000,1.4000000000,1.4000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Bulgaria,-0.7000000000,-0.6000000000,-0.6000000000,560.6320166320,-2.7000000000,-7.7000000000,-7.7000000000,1452.3152080466,12.0000000000,0.4000000000,0.4000000000,0.4000000000,0.2000000000,0.1000000000,99.6000000000,0.1000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.0000000000,0.1000000000,0.2000000000,0.3000000000,0.4000000000,0.6000000000,0.8000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,8452.0349605495,1.5600000000,0.7000000000,0.4000000000,0.4000000000,0.1700746896,0.1750023660,0.0002446632,0.0030654866,0.2215209822,52.2504125454,0.3327276239,,46.4948967564,0.4789211099,,,,,0.1778413966,0.0001007437,0.0402686921,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,4.3575044790,18.0000000000,78.4350806211,1.6000000000,0.9000000000,0.9000000000,4.3575044790,18.0000000000,1255.8157172557,1.6000000000,0.9000000000,0.9000000000,213.4012516070,179.9000000000,4866.7343451144,,50.0000000000,1.6000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,51.9122905721,,,8714.9748523909,2.2000000000,1.5000000000,1.5000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,114.9722898822,500.0000000000,1.3000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,904.4974458357,29.0000000000,1.8000000000,1.1000000000,1.1000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
