European tram systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK
Gmunden,Antwerp,Sofia,Osijek,,Brno,Aarhus,Tallinn,Helsinki,Angers,Augsburg,Athens,Budapest,,Dublin,Bergamo–Albino light rail,Daugavpils,,,Luxembourg,,Amsterdam,Bergen Light Rail,Bydgoszcz,AlmadaSeixal,Arad,Bratislava,,Alicante,Gothenburg,Basel,"Birmingham, West Midlands Metro"
Graz,Coast Tram ,,Zagreb,,Liberec–Jablonec,,,Tampere,Aubagne,Bad Schandau,,Debrecen,,,Cagliari light rail,Liepāja,,,,,Rotterdam,Oslo,Częstochowa,Lisbon,Botoșani,Košice,,Barcelona,Lund,Bern,Blackpool tramway
Innsbruck,Brussels,,,,MostLitvínov,,,,Avignon,Berlin,,Miskolc,,,Florence,Riga,,,,,The Hague,Trondheim,Elbląg,Porto Metro,Brăila,Trenčianske Teplice,,Bilbao,Norrköping,Geneva,Edinburgh
Linz,Charleroi,,,,Olomouc,,,,Besançon,Bielefeld,,Szeged,,,Messina,,,,,,Utrecht sneltram,,Gdańsk,Porto,Bucharest,,,Granada,Stockholm,Lausanne,London Tramlink
Vienna tram,Ghent,,,,Ostrava,,,,Bordeaux,Bochum Stadtbahn,,,,,Mestre,,,,,,,,Gorzów Wielkopolski,Sintra,ClujNapoca,,,Madrid,,Neuchâtel,Manchester Metrolink
Wiener Lokalbahn,,,,,Pilsen,,,,Brest,Bochum/Gelsenkirchen,,,,,Milan,,,,,,,,Grudziądz,,Craiova,,,Murcia,,Zürich,"Newcastle, Tyne and Wear Metro"
,,,,,,,,,,Bonn Stadtbahn,,,,,Naples,,,,,,,,Katowice,,Galați,,,Parla,,,Nottingham Express Transit
,,,,,,,,,,Bonn,,,,,Padua,,,,,,,,Kraków,,Iași (RATP Iași),,,Santa Cruz de Tenerife,,,Sheffield Supertram
,,,,,,,,,,Brandenburg  and der Havel,,,,,Palermo,,,,,,,,Kraków Fast Tram,,Oradea,,,Seville,,,Docklands Light Railway
,,,,,,,,,,Braunschweig,,,,,Rome,,,,,,,,Łódź,,Ploiești,,,"Sóller, Mallorca",,,
,,,,,,,,,,Bremen,,,,,Sassari,,,,,,,,Olsztyn,,Timișoara,,,Valencia,,,
,,,,,,,,,,Chemnitz,,,,,Turin,,,,,,,,Poznań,,,,,VitoriaGasteiz,,,
,,,,,,,,,,Cologne,,,,,Trieste–Opicina,,,,,,,,Poznań Fast Tram,,,,,Zaragoza,,,
,,,,,,,,,,Cottbus,,,,,,,,,,,,,Szczecin,,,,,,,,
,,,,,,,,,,Darmstadt,,,,,,,,,,,,,Toruń,,,,,,,,
,,,,,,,,,,Dessau,,,,,,,,,,,,,Warsaw,,,,,,,,
,,,,,,,,,,Dortmund,,,,,,,,,,,,,Wrocław,,,,,,,,
,,,,,,,,,,Dresden,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Duisburg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Düsseldorf Stadtbahn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Düsseldorf,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Erfurt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Essen Stadtbahn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Essen trams,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Frankfurt am Main UBahn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Frankfurt am Main,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Frankfurt (Oder),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Freiburg im Breisgau,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gera,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Görlitz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gotha,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Halberstadt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Halle (Saale),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Heidelberg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hanover,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jena,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Karlsruhe Stadtbahn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Karlsruhe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Kassel RegioTram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Kassel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Krefeld,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Leipzig,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Magdeburg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mainz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mannheim/Ludwigshafen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mülheim/Oberhausen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Munich,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Naumburg (Saale),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nordhausen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nuremberg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Plauen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Potsdam,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Rostock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Saarbahn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Schwerin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Strausberg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Stuttgart,,,,,,,,,,,,,,,,,,,,,
