,2010-2020,2020-2030,2030-2040,2040-2050
Austria,1.01,1.01,1.014,1.016
Belgium,1.005,1.008,1.016,1.017
Bulgaria,1.027,1.027,1.021,1.018
Cyprus,0.997,1.012,1.019,1.013
Czechia,1.011,1.02,1.019,1.018
Germany,1.015,1.013,1.013,1.017
Denmark,1.016,1.016,1.015,1.019
Estonia,1.036,1.026,1.021,1.017
Spain,1.014,1.021,1.015,1.009
Finland,1.006,1.009,1.017,1.017
France,1.008,1.01,1.014,1.016
Greece,0.988,1.011,1.019,1.01
Hungary,1.014,1.023,1.017,1.016
Croatia,1.012,1.016,1.024,1.02
Ireland,1.005,1.025,1.022,1.017
Italy,1,1.009,1.013,1.015
Lithuania,1.043,1.027,1.018,1.019
Luxembourg,0.99,1.007,1.014,1.017
Latvia,1.044,1.032,1.022,1.016
Malta,1.009,1.018,1.021,1.017
Netherlands,1.007,1.011,1.015,1.019
Poland,1.029,1.028,1.02,1.013
Portugal,1.006,1.019,1.015,1.013
Romania,1.025,1.023,1.018,1.018
Sweden,1.015,1.016,1.018,1.018
Slovenia,1.001,1.019,1.017,1.016
Slovakia,1.025,1.032,1.021,1.014
United Kingdom,1.006,1.009,1.017,1.016
Norway,1.015,1.016,1.018,1.018
Switzerland,1.01,1.01,1.014,1.016
Liechtenstein,1.01,1.01,1.014,1.016
Iceland,1.015,1.016,1.018,1.018
