0,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Paddy rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheat,35.26396928,36.24685815,10.83749629,38.19953639,13.32685266,31.02614561,30.76414917,15.56114177,29.52455905,23.48033222,36.13077032,22.62155098,11.98301064,16.60782086,38.81755226,39.33829516,14.25245053,33.23419227,15.31102494,30.1386323,33.09173173,16.57569575,16.88390426,12.9547858,24.38800016,19.24385622,17.92842125,32.40430859,37.41090272,42.36053035,80.48500767,28.6550289
Cereal grains nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegetables, fruit, nuts",559.3369585,588.3879769,236.1499605,733.5530736,241.6974091,535.6754179,731.6188248,349.7532606,648.9008047,531.5532252,779.7279212,556.4157175,268.983704,324.3131789,835.808944,900.7909806,295.64997,693.3459192,374.2893688,649.5241168,715.0125885,332.2274594,382.5212534,274.4702312,522.2174439,522.0518639,320.5124954,742.9970271,831.139827,1022.484903,1942.721316,636.6148375
Oil seeds,3.858900922,2.779770306,1.259131122,2.962762286,1.828965565,3.176621881,3.140081584,1.480738707,2.745722297,2.333761175,2.598940282,5.65496236,1.540558802,1.959864607,3.151843958,4.346002716,2.364003548,2.670235581,1.842904837,2.672391689,2.087619516,2.370240554,2.3221533,1.303084809,2.11389991,2.523047705,2.135184818,2.68186493,2.627627476,3.280173963,6.23233053,2.012641657
"Sugar cane, sugar beet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant-based fibers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crops nec,5.877328215,6.041143026,1.806249382,6.366589398,2.221142109,5.171024269,5.127358195,2.593523629,4.920759841,3.913388703,6.021795052,3.770258496,1.99716844,2.767970144,6.469592044,6.556382527,2.375408422,5.539032044,2.551837489,5.023105384,5.515288622,2.762615958,2.813984044,2.159130967,4.064666694,3.20730937,2.988070208,5.400718099,6.235150454,7.060088392,13.41416794,4.77583815
Cattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meat animals nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal products nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
