0,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Paddy rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheat,31.63896354,40.94767117,11.00180493,38.99207872,12.30730702,30.67916675,30.12557812,11.60871931,29.55319955,21.38877272,32.49345905,21.91666283,12.71891409,16.58700783,34.37872826,40.39392594,14.25645517,33.22486261,15.28864781,32.19999244,32.71093621,15.36364459,17.48678312,13.79624574,24.64669312,18.57240121,17.05544044,27.54806624,37.04886952,42.36053035,80.48500767,28.6550289
Cereal grains nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegetables, fruit, nuts",501.8391856,664.6953315,239.7302598,748.7724168,223.2068063,529.6847269,716.4326222,260.9183497,649.5302748,484.2040145,701.2321369,539.0777885,285.502594,323.9067475,740.2333972,924.9634234,295.7330414,693.1512798,373.7423433,693.9489305,706.7847457,307.9342604,396.1800596,292.2980598,527.7568066,503.8364743,304.9059201,631.6484508,823.0967114,1022.484903,1942.721316,636.6148375
Oil seeds,3.462220165,3.140275494,1.278220967,3.024231999,1.689044017,3.141096338,3.07490295,1.104641309,2.748385803,2.125876538,2.337303048,5.47875358,1.635167959,1.957408492,2.791427606,4.462626332,2.364667783,2.669485979,1.840211423,2.855172436,2.063596715,2.196923377,2.405071155,1.387724854,2.136322864,2.435013738,2.031217193,2.279949672,2.602199371,3.280173963,6.23233053,2.012641657
"Sugar cane, sugar beet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant-based fibers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crops nec,5.27316059,6.824611861,1.833634156,6.498679787,2.051217836,5.113194458,5.020929685,1.934786551,4.925533257,3.564795453,5.415576509,3.652777138,2.119819015,2.764501306,5.729788044,6.732320989,2.376075861,5.5374771,2.548107968,5.366665406,5.451822703,2.560607433,2.914463853,2.299374289,4.107782187,3.095400202,2.842573407,4.591344375,6.174811587,7.060088392,13.41416794,4.77583815
Cattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meat animals nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
