Type,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Turkey,Norway,Switzerland,Liechtenstein,Iceland
Total_adult,22645,22578,7821,20199,9677,21085,20384,8975,18388,20928,19484,14483,10319,10986,19552,19171,10851,31893,8883,16111,21692,10692,14844,6750,19286,15014,10550,15791,11381,25398,1,1,1
Total_household,34491,34923,12517,35579,15055,30835,30102,14329,30223,30792,29667,24190,15998,20163,33814,29651,16254,49838,14428,27868,32624,18436,24842,11422,28583,25762,19341,25316,21628,37330,54936.36581,104379.095,29503.50263
1st_adult,17096,16192,4751,12334,7074,12419,14537,5150,11057,13428,12958,9989,7188,7172,12951,11527.83049,6713,19678,5393,12031,17017,8000,9095,4157,14962,11827,8428,11328,5737,19306,1,1,1
1st_household,18985,17699,5447,14553,7327,13243,15090,5435,15066,13792,14627,13073,8129,8801,16004,15707.5422,7483,22815,5903,14285,18434,10004,11389,5164,15754,13775,10608,13365,9186,20222,30989.40077,58879.86146,15982.3153
2nd_adult,20274,21014,6247,16034,8864,17478,17770,6564,15165,18097,16254,11592,9316,9784,16834,15810.75783,9188,27086,7058,13038,19593,9213,11931,5805,17452,13636,9486,12670,8210,22444,1,1,1
2nd_household,24394,25857,8397,22758,11247,20680,21438,8588,21959,20196,20545,16272,11564,14300,25145,22894.06075,11390,35646,9237,18751,24124,13387,17498,8160,20750,19369,15175,17381,14707,25268,40995.69327,77891.81721,19970.38587
3rd_adult,23350,23043,7441,19786,9560,20864,20912,8375,18196,20400,18594,13628,9973,10936,19528,18970.82423,10311,30795,8150,16474,21769,9998,13502,6638,19072,15177,10549,15220,9958,27052,1,1,1
3rd_household,33100,32985,11204,32686,14387,28012,27946,12952,27937,27151,27088,21472,14465,19854,31771,29126.61665,14281,45854,12564,27021,30730,16860,22310,10645,26874,24795,19219,23715,18968,36389,51541.3912,97928.64328,28759.78991
4th_adult,23639,25153,8955,22953,10517,23806,21838,10415,20475,23445,21299,15513,11386,12410,22080,21346.86888,12075,35300,9743,17802,22683,11150,16216,7577,20679,15769,11160,16866,12305,25298,1,1,1
4th_household,40005,42721,14878,43777,18183,37326,35245,17812,34700,37377,34936,27860,18912,24682,40908,36177.59952,19218,61069,16580,33992,37866,21177,28607,13602,33746,30211,22402,28915,24396,42634,62755.56671,119235.5767,33695.48168
5th_adult,28874,27496,11717,29926,12374,30862,26885,14377,27049,29280,28316,21713,13736,14636,26370,28200.80373,15973,46608,14082,21215,27399,15097,23479,9579,24266,18661,13130,22878,20696,32943,1,1,1
5th_household,56000,55370,22668,64226,24143,54927,50852,26872,51460,55479,51147,42327,26938,33202,55257,53651.27583,28908,83801,27884,45313,51970,30755,44410,19553,45801,40669,29302,43219,40885,62295,88347.7705,167860.7639,49234.41458
