year,country,growth_factor_name,growth_factor_value
2022,Austria,annual_population_change,0.5
2023,Austria,annual_population_change,0.5
2024,Austria,annual_population_change,0.5
2025,Austria,annual_population_change,0.5
2026,Austria,annual_population_change,0.5
2027,Austria,annual_population_change,0.5
2028,Austria,annual_population_change,0.5
2029,Austria,annual_population_change,0.5
2030,Austria,annual_population_change,0.5
2031,Austria,annual_population_change,0.2
2032,Austria,annual_population_change,0.2
2033,Austria,annual_population_change,0.2
2034,Austria,annual_population_change,0.2
2035,Austria,annual_population_change,0.2
2036,Austria,annual_population_change,0.2
2037,Austria,annual_population_change,0.2
2038,Austria,annual_population_change,0.2
2039,Austria,annual_population_change,0.2
2040,Austria,annual_population_change,0.2
2041,Austria,annual_population_change,0.2
2042,Austria,annual_population_change,0.2
2043,Austria,annual_population_change,0.2
2044,Austria,annual_population_change,0.2
2045,Austria,annual_population_change,0.2
2046,Austria,annual_population_change,0.2
2047,Austria,annual_population_change,0.2
2048,Austria,annual_population_change,0.2
2049,Austria,annual_population_change,0.2
2050,Austria,annual_population_change,0.2
2022,Austria,bus_annual_change_passenger_km,0.8
2023,Austria,bus_annual_change_passenger_km,0.8
2024,Austria,bus_annual_change_passenger_km,0.8
2025,Austria,bus_annual_change_passenger_km,0.8
2026,Austria,bus_annual_change_passenger_km,0.8
2027,Austria,bus_annual_change_passenger_km,0.8
2028,Austria,bus_annual_change_passenger_km,0.8
2029,Austria,bus_annual_change_passenger_km,0.8
2030,Austria,bus_annual_change_passenger_km,0.8
2031,Austria,bus_annual_change_passenger_km,0.7
2032,Austria,bus_annual_change_passenger_km,0.7
2033,Austria,bus_annual_change_passenger_km,0.7
2034,Austria,bus_annual_change_passenger_km,0.7
2035,Austria,bus_annual_change_passenger_km,0.7
2036,Austria,bus_annual_change_passenger_km,0.7
2037,Austria,bus_annual_change_passenger_km,0.7
2038,Austria,bus_annual_change_passenger_km,0.7
2039,Austria,bus_annual_change_passenger_km,0.7
2040,Austria,bus_annual_change_passenger_km,0.7
2041,Austria,bus_annual_change_passenger_km,0.7
2042,Austria,bus_annual_change_passenger_km,0.7
2043,Austria,bus_annual_change_passenger_km,0.7
2044,Austria,bus_annual_change_passenger_km,0.7
2045,Austria,bus_annual_change_passenger_km,0.7
2046,Austria,bus_annual_change_passenger_km,0.7
2047,Austria,bus_annual_change_passenger_km,0.7
2048,Austria,bus_annual_change_passenger_km,0.7
2049,Austria,bus_annual_change_passenger_km,0.7
2050,Austria,bus_annual_change_passenger_km,0.7
2022,Austria,car_annual_change_passenger_km,0.6
2023,Austria,car_annual_change_passenger_km,0.6
2024,Austria,car_annual_change_passenger_km,0.6
2025,Austria,car_annual_change_passenger_km,0.6
2026,Austria,car_annual_change_passenger_km,0.6
2027,Austria,car_annual_change_passenger_km,0.6
2028,Austria,car_annual_change_passenger_km,0.6
2029,Austria,car_annual_change_passenger_km,0.6
2030,Austria,car_annual_change_passenger_km,0.6
2031,Austria,car_annual_change_passenger_km,0.6
2032,Austria,car_annual_change_passenger_km,0.6
2033,Austria,car_annual_change_passenger_km,0.6
2034,Austria,car_annual_change_passenger_km,0.6
2035,Austria,car_annual_change_passenger_km,0.6
2036,Austria,car_annual_change_passenger_km,0.6
2037,Austria,car_annual_change_passenger_km,0.6
2038,Austria,car_annual_change_passenger_km,0.6
2039,Austria,car_annual_change_passenger_km,0.6
2040,Austria,car_annual_change_passenger_km,0.6
2041,Austria,car_annual_change_passenger_km,0.6
2042,Austria,car_annual_change_passenger_km,0.6
2043,Austria,car_annual_change_passenger_km,0.6
2044,Austria,car_annual_change_passenger_km,0.6
2045,Austria,car_annual_change_passenger_km,0.6
2046,Austria,car_annual_change_passenger_km,0.6
2047,Austria,car_annual_change_passenger_km,0.6
2048,Austria,car_annual_change_passenger_km,0.6
2049,Austria,car_annual_change_passenger_km,0.6
2050,Austria,car_annual_change_passenger_km,0.6
2022,Austria,metro_annual_change_passenger_km,1.4
2023,Austria,metro_annual_change_passenger_km,1.4
2024,Austria,metro_annual_change_passenger_km,1.4
2025,Austria,metro_annual_change_passenger_km,1.4
2026,Austria,metro_annual_change_passenger_km,1.4
2027,Austria,metro_annual_change_passenger_km,1.4
2028,Austria,metro_annual_change_passenger_km,1.4
2029,Austria,metro_annual_change_passenger_km,1.4
2030,Austria,metro_annual_change_passenger_km,1.4
2031,Austria,metro_annual_change_passenger_km,0.8
2032,Austria,metro_annual_change_passenger_km,0.8
2033,Austria,metro_annual_change_passenger_km,0.8
2034,Austria,metro_annual_change_passenger_km,0.8
2035,Austria,metro_annual_change_passenger_km,0.8
2036,Austria,metro_annual_change_passenger_km,0.8
2037,Austria,metro_annual_change_passenger_km,0.8
2038,Austria,metro_annual_change_passenger_km,0.8
2039,Austria,metro_annual_change_passenger_km,0.8
2040,Austria,metro_annual_change_passenger_km,0.8
2041,Austria,metro_annual_change_passenger_km,0.8
2042,Austria,metro_annual_change_passenger_km,0.8
2043,Austria,metro_annual_change_passenger_km,0.8
2044,Austria,metro_annual_change_passenger_km,0.8
2045,Austria,metro_annual_change_passenger_km,0.8
2046,Austria,metro_annual_change_passenger_km,0.8
2047,Austria,metro_annual_change_passenger_km,0.8
2048,Austria,metro_annual_change_passenger_km,0.8
2049,Austria,metro_annual_change_passenger_km,0.8
2050,Austria,metro_annual_change_passenger_km,0.8
2022,Austria,tram_annual_change_passenger_km,1.4
2023,Austria,tram_annual_change_passenger_km,1.4
2024,Austria,tram_annual_change_passenger_km,1.4
2025,Austria,tram_annual_change_passenger_km,1.4
2026,Austria,tram_annual_change_passenger_km,1.4
2027,Austria,tram_annual_change_passenger_km,1.4
2028,Austria,tram_annual_change_passenger_km,1.4
2029,Austria,tram_annual_change_passenger_km,1.4
2030,Austria,tram_annual_change_passenger_km,1.4
2031,Austria,tram_annual_change_passenger_km,0.8
2032,Austria,tram_annual_change_passenger_km,0.8
