country,land_conversion,factor_name,factor_value
Austria,cropland_to_forestland,aboveground_biomass,1.199436884
Austria,cropland_to_forestland,belowground_biomass,0
Austria,cropland_to_forestland,dead_wood,0.015905732
Austria,cropland_to_forestland,litter,1.390196225
Austria,cropland_to_forestland,mineral_soil,1.203078114
Austria,cropland_to_forestland,organic_soil,0
Austria,grassland_to_forestland,aboveground_biomass,1.19122696
Austria,grassland_to_forestland,belowground_biomass,0
Austria,grassland_to_forestland,dead_wood,0.015896503
Austria,grassland_to_forestland,litter,1.246544701
Austria,grassland_to_forestland,mineral_soil,-0.874971283
Austria,grassland_to_forestland,organic_soil,0
Austria,wetland_to_forestland,aboveground_biomass,1.217949531
Austria,wetland_to_forestland,belowground_biomass,0
Austria,wetland_to_forestland,dead_wood,0.015926543
Austria,wetland_to_forestland,litter,0.783688996
Austria,wetland_to_forestland,mineral_soil,0
Austria,wetland_to_forestland,organic_soil,0
Austria,settlement_to_forestland,aboveground_biomass,1.223803049
Austria,settlement_to_forestland,belowground_biomass,0
Austria,settlement_to_forestland,dead_wood,0.015933123
Austria,settlement_to_forestland,litter,1.21163034
Austria,settlement_to_forestland,mineral_soil,2.644833732
Austria,settlement_to_forestland,organic_soil,0
Austria,otherland_to_forestland,aboveground_biomass,1.170421305
Austria,otherland_to_forestland,belowground_biomass,0
Austria,otherland_to_forestland,dead_wood,0.015873115
Austria,otherland_to_forestland,litter,1.211484627
Austria,otherland_to_forestland,mineral_soil,2.905787495
Austria,otherland_to_forestland,organic_soil,0
Austria,forestland_to_cropland,aboveground_biomass,-83.84
Austria,forestland_to_cropland,belowground_biomass,-20.91
Austria,forestland_to_cropland,dead_wood,-0.680684445
Austria,forestland_to_cropland,litter,0
Austria,forestland_to_cropland,mineral_soil,-0.790409692
Austria,forestland_to_cropland,organic_soil,0
Austria,grassland_to_cropland,aboveground_biomass,0.045254835
Austria,grassland_to_cropland,belowground_biomass,0
Austria,grassland_to_cropland,dead_wood,0
Austria,grassland_to_cropland,litter,0
Austria,grassland_to_cropland,mineral_soil,-0.988850933
Austria,grassland_to_cropland,organic_soil,0
Austria,wetland_to_cropland,aboveground_biomass,0
Austria,wetland_to_cropland,belowground_biomass,0
Austria,wetland_to_cropland,dead_wood,0
Austria,wetland_to_cropland,litter,0
Austria,wetland_to_cropland,mineral_soil,0
Austria,wetland_to_cropland,organic_soil,0
Austria,settlement_to_cropland,aboveground_biomass,0
Austria,settlement_to_cropland,belowground_biomass,0
Austria,settlement_to_cropland,dead_wood,0
Austria,settlement_to_cropland,litter,0
Austria,settlement_to_cropland,mineral_soil,0
Austria,settlement_to_cropland,organic_soil,0
Austria,otherland_to_cropland,aboveground_biomass,0
Austria,otherland_to_cropland,belowground_biomass,0
Austria,otherland_to_cropland,dead_wood,0
Austria,otherland_to_cropland,litter,0
Austria,otherland_to_cropland,mineral_soil,0
Austria,otherland_to_cropland,organic_soil,0
Austria,forestland_to_grassland,aboveground_biomass,-83.84
Austria,forestland_to_grassland,belowground_biomass,-20.91
Austria,forestland_to_grassland,dead_wood,-0.848673351
Austria,forestland_to_grassland,litter,0
Austria,forestland_to_grassland,mineral_soil,0.81675197
Austria,forestland_to_grassland,organic_soil,0
Austria,cropland_to_grassland,aboveground_biomass,-0.064304877
Austria,cropland_to_grassland,belowground_biomass,0
Austria,cropland_to_grassland,dead_wood,0
Austria,cropland_to_grassland,litter,0
Austria,cropland_to_grassland,mineral_soil,0.997638354
Austria,cropland_to_grassland,organic_soil,0
Austria,wetland_to_grassland,aboveground_biomass,0
Austria,wetland_to_grassland,belowground_biomass,0
Austria,wetland_to_grassland,dead_wood,0
Austria,wetland_to_grassland,litter,0
Austria,wetland_to_grassland,mineral_soil,0
Austria,wetland_to_grassland,organic_soil,0
Austria,settlement_to_grassland,aboveground_biomass,0
Austria,settlement_to_grassland,belowground_biomass,0
Austria,settlement_to_grassland,dead_wood,0
Austria,settlement_to_grassland,litter,0
Austria,settlement_to_grassland,mineral_soil,0
Austria,settlement_to_grassland,organic_soil,0
Austria,otherland_to_grassland,aboveground_biomass,0
Austria,otherland_to_grassland,belowground_biomass,0
Austria,otherland_to_grassland,dead_wood,0
Austria,otherland_to_grassland,litter,0
Austria,otherland_to_grassland,mineral_soil,0
Austria,otherland_to_grassland,organic_soil,0
Austria,land_to_peat_extraction,aboveground_biomass,0
Austria,land_to_peat_extraction,belowground_biomass,0
Austria,land_to_peat_extraction,dead_wood,0
Austria,land_to_peat_extraction,litter,0
Austria,land_to_peat_extraction,mineral_soil,0
Austria,land_to_peat_extraction,organic_soil,0
Austria,peatland_restoration,aboveground_biomass,0
Austria,peatland_restoration,belowground_biomass,0
Austria,peatland_restoration,dead_wood,0
Austria,peatland_restoration,litter,0
Austria,peatland_restoration,mineral_soil,0
Austria,peatland_restoration,organic_soil,0
Austria,forestland_to_wetland,aboveground_biomass,-2.90138718
Austria,forestland_to_wetland,belowground_biomass,0
Austria,forestland_to_wetland,dead_wood,-1.177844422
Austria,forestland_to_wetland,litter,0
Austria,forestland_to_wetland,mineral_soil,0
Austria,forestland_to_wetland,organic_soil,0
Austria,cropland_to_wetland,aboveground_biomass,0
Austria,cropland_to_wetland,belowground_biomass,0
Austria,cropland_to_wetland,dead_wood,0
Austria,cropland_to_wetland,litter,0
Austria,cropland_to_wetland,mineral_soil,0
Austria,cropland_to_wetland,organic_soil,0
Austria,grassland_to_wetland,aboveground_biomass,-0.134235481
Austria,grassland_to_wetland,belowground_biomass,0
Austria,grassland_to_wetland,dead_wood,0
Austria,grassland_to_wetland,litter,0
Austria,grassland_to_wetland,mineral_soil,0
Austria,grassland_to_wetland,organic_soil,0
Austria,forestland_to_settlement,aboveground_biomass,-83.84
Austria,forestland_to_settlement,belowground_biomass,-20.91
Austria,forestland_to_settlement,dead_wood,-0.569822465
Austria,forestland_to_settlement,litter,0
Austria,forestland_to_settlement,mineral_soil,-2.930842051
Austria,forestland_to_settlement,organic_soil,0
Austria,cropland_to_settlement,aboveground_biomass,0.638858951
Austria,cropland_to_settlement,belowground_biomass,0
Austria,cropland_to_settlement,dead_wood,0
Austria,cropland_to_settlement,litter,0
Austria,cropland_to_settlement,mineral_soil,-0.522239293
Austria,cropland_to_settlement,organic_soil,0
Austria,grassland_to_settlement,aboveground_biomass,0.401287623
Austria,grassland_to_settlement,belowground_biomass,0
Austria,grassland_to_settlement,dead_wood,0
Austria,grassland_to_settlement,litter,0
