VariableName,VariableAcronym,VariableType
dataset_name,country,String
dataset_description,description,String
annual_change_population__2021_30,POP_COL1,Float
annual_change_population__2031_40,POP_COL2,Float
annual_change_population__2041_50,POP_COL3,Float
grid_electricity_emission_factor,ENE_COL1,Float
annual_change_grid_electricity_ef__2021_30,ENE_COL2,Float
annual_change_grid_electricity_ef__2031_40,ENE_COL3,Float
annual_change_grid_electricity_ef__2041_50,ENE_COL4,Float
district_heating_emission_factor,ENE_COL5,Float
annual_change_district_heating_ef__2021_30,ENE_COL6,Float
annual_change_district_heating_ef__2031_40,ENE_COL7,Float
annual_change_district_heating_ef__2041_50,ENE_COL8,Float
passenger_km_per_capita_bus,BUS_COL1,Float
occupancy_rate_bus,BUS_COL2,Float
annual_change_bus__2020_30,BUS_COL3,Float
annual_change_bus__2030_40,BUS_COL4,Float
annual_change_bus__2040_50,BUS_COL5,Float
propulsion_share_bus__petrol,BUS_COL6,Float
propulsion_share_bus__lpg,BUS_COL7,Float
propulsion_share_bus__diesel,BUS_COL8,Float
propulsion_share_bus__cng,BUS_COL9,Float
propulsion_share_bus__electricity,BUS_COL10,Float
cf_bus__metropolitan,BUS_COL11,Float
cf_bus__city,BUS_COL12,Float
cf_bus__suburban,BUS_COL13,Float
cf_bus__town,BUS_COL14,Float
cf_bus__rural,BUS_COL15,Float
ef_street_driving_bus__petrol,BUS_COL16,Float
ef_street_driving_bus__lpg,BUS_COL17,Float
ef_street_driving_bus__diesel,BUS_COL18,Float
ef_street_driving_bus__cng,BUS_COL19,Float
electricity_consumption_street_driving_bus__electricity,BUS_COL20,Float
ef_road_driving_bus__petrol,BUS_COL21,Float
ef_road_driving_bus__lpg,BUS_COL22,Float
ef_road_driving_bus__diesel,BUS_COL23,Float
ef_road_driving_bus__cng,BUS_COL24,Float
electricity_consumption_road_driving_bus__electricity,BUS_COL25,Float
share_of_electric_buses__2020,BUS_COL26,Float
share_of_electric_buses__2025,BUS_COL27,Float
share_of_electric_buses__2030,BUS_COL28,Float
share_of_electric_buses__2035,BUS_COL29,Float
share_of_electric_buses__2040,BUS_COL30,Float
share_of_electric_buses__2045,BUS_COL31,Float
share_of_electric_buses__2050,BUS_COL32,Float
share_road_driving_buses__metropolitan_center,BUS_COL33,Float
share_road_driving_buses__urban,BUS_COL35,Float
share_road_driving_buses__suburban,BUS_COL37,Float
share_road_driving_buses__town,BUS_COL39,Float
share_road_driving_buses__rural,BUS_COL41,Float
passenger_km_per_capita_car,CAR_COL1,Float
occupancy_rate_car,CAR_COL2,Float
annual_change_car__2021_30,CAR_COL4,Float
annual_change_car__2031_40,CAR_COL5,Float
annual_change_car__2041_50,CAR_COL6,Float
ef_petrol_car,CAR_COL7,Float
ef_diesel_car,CAR_COL8,Float
propulsion_share_car__lpg,CAR_COL9,Float
propulsion_share_car__cng,CAR_COL10,Float
propulsion_share_car__ngv,CAR_COL11,Float
propulsion_share_car__petrol,CAR_COL12,Float
propulsion_share_car__hybrid_electric_petrol,CAR_COL13,Float
propulsion_share_car__petrol_phev,CAR_COL14,Float
propulsion_share_car__diesel,CAR_COL15,Float
propulsion_share_car__hybrid_electric_diesel,CAR_COL16,Float
propulsion_share_car__diesel_phev,CAR_COL17,Float
propulsion_share_car__hydrogen_fuel_cell,CAR_COL18,Float
propulsion_share_car__bioethanol,CAR_COL19,Float
propulsion_share_car__biodiesel,CAR_COL20,Float
propulsion_share_car__bi_fuel,CAR_COL21,Float
propulsion_share_car__other,CAR_COL22,Float
propulsion_share_car__bev,CAR_COL23,Float
ef_street_driving_car__lpg,CAR_COL24,Float
ef_street_driving_car__cng,CAR_COL25,Float
ef_street_driving_car__ngv,CAR_COL26,Float
ef_street_driving_car__petrol,CAR_COL27,Float
ef_street_driving_car__hybrid_electric_petrol,CAR_COL28,Float
ef_street_driving_car__petrol_phev,CAR_COL29,Float
ef_street_driving_car__diesel,CAR_COL30,Float
ef_street_driving_car__hybrid_electric_diesel,CAR_COL31,Float
ef_street_driving_car__diesel_phev,CAR_COL32,Float
ef_street_driving_car__hydrogen_fuel_cell,CAR_COL33,Float
ef_street_driving_car__bioethanol,CAR_COL34,Float
ef_street_driving_car__biodiesel,CAR_COL35,Float
ef_street_driving_car__bi_fuel,CAR_COL36,Float
ef_street_driving_car__other,CAR_COL37,Float
ef_street_driving_car__bev,CAR_COL38,Float
ef_road_driving_car__lpg,CAR_COL39,Float
ef_road_driving_car__cng,CAR_COL40,Float
ef_road_driving_car__ngv,CAR_COL41,Float
ef_road_driving_car__petrol,CAR_COL42,Float
ef_road_driving_car__hybrid_electric_petrol,CAR_COL43,Float
ef_road_driving_car__petrol_phev,CAR_COL44,Float
ef_road_driving_car__diesel,CAR_COL45,Float
ef_road_driving_car__hybrid_electric_diesel,CAR_COL46,Float
ef_road_driving_car__diesel_phev,CAR_COL47,Float
ef_road_driving_car__hydrogen_fuel_cell,CAR_COL48,Float
ef_road_driving_car__bioethanol,CAR_COL49,Float
ef_road_driving_car__biodiesel,CAR_COL50,Float
ef_road_driving_car__bi_fuel,CAR_COL51,Float
ef_road_driving_car__other,CAR_COL52,Float
ef_road_driving_car__bev,CAR_COL53,Float
cf_car__metropolitan,CAR_COL54,Float
cf_car__city,CAR_COL55,Float
cf_car__suburban,CAR_COL56,Float
cf_car__town,CAR_COL57,Float
cf_car__rural,CAR_COL58,Float
share_road_driving_car__metropolitan_center,CAR_COL59,Float
share_road_driving_car__urban,CAR_COL60,Float
share_road_driving_car__suburban,CAR_COL61,Float
share_road_driving_car__town,CAR_COL62,Float
share_road_driving_car__rural,CAR_COL63,Float
passenger_km_per_capita_metro,METRO_COL1,Float
occupancy_rate_metro,METRO_COL2,Float
electricity_consumption_metro,METRO_COL3,Float
annual_change_metro__2021_30,METRO_COL4,Float
annual_change_metro__2031_40,METRO_COL5,Float
annual_change_metro__2041_50,METRO_COL6,Float
metro__1,METRO_COL7,String
metro__2,METRO_COL8,String
metro__3,METRO_COL9,String
metro__4,METRO_COL10,String
metro__5,METRO_COL11,String
metro__6,METRO_COL12,String
metro__7,METRO_COL13,String
transport_activity_metro__pkm_a,METRO_COL14,Float
transport_activity_metro__metro_2,METRO_COL15,Float
transport_activity_metro__metro_3,METRO_COL16,Float
transport_activity_metro__metro_4,METRO_COL17,Float
