local dataset name,factor_name,value
DEMO Tallinn,creator,
DEMO Tallinn,year_data,2022
DEMO Tallinn,description,
DEMO Tallinn,annual_change_population--2021-30,-0.6
DEMO Tallinn,annual_change_population--2031-40,-0.3
DEMO Tallinn,annual_change_population--2041-50,-0.3
DEMO Tallinn,grid_electricity_emission_factor,710.8761515
DEMO Tallinn,annual_change_grid_electricity_ef--2021-30,-1.3
DEMO Tallinn,annual_change_grid_electricity_ef--2031-40,-6.1
DEMO Tallinn,annual_change_grid_electricity_ef--2041-50,-6.1
DEMO Tallinn,district_heating_emission_factor,350
DEMO Tallinn,annual_change_district_heating_ef--2021-30,0
DEMO Tallinn,annual_change_district_heating_ef--2031-40,0
DEMO Tallinn,annual_change_district_heating_ef--2041-50,0
DEMO Tallinn,passenger-km_per_capita_bus,2171.666785
DEMO Tallinn,occupancy_rate_bus,12
DEMO Tallinn,annual_change_bus--2020-30,0.54
DEMO Tallinn,annual_change_bus--2030-40,0.3
DEMO Tallinn,annual_change_bus--2040-50,0.3
DEMO Tallinn,propulsion_share_bus--petrol,4.2
DEMO Tallinn,propulsion_share_bus--lpg,0
DEMO Tallinn,propulsion_share_bus--diesel,92.4
DEMO Tallinn,propulsion_share_bus--cng,3.4
DEMO Tallinn,propulsion_share_bus--electricity,0
DEMO Tallinn,cf_bus--metropolitan,1
DEMO Tallinn,cf_bus--city,1
DEMO Tallinn,cf_bus--suburban,1
DEMO Tallinn,cf_bus--town,1
DEMO Tallinn,cf_bus--rural,1
DEMO Tallinn,ef_street_driving_bus--petrol,433.019222
DEMO Tallinn,ef_street_driving_bus--lpg,470.6730674
DEMO Tallinn,ef_street_driving_bus--diesel,433.3722268
DEMO Tallinn,ef_street_driving_bus--cng,649.05816
DEMO Tallinn,electricity_consumption_street_driving_bus--electricity,0.822094841
DEMO Tallinn,ef_road_driving_bus--petrol,261.9160062
DEMO Tallinn,ef_road_driving_bus--lpg,284.6913111
DEMO Tallinn,ef_road_driving_bus--diesel,262.1295247
DEMO Tallinn,ef_road_driving_bus--cng,392.589318
DEMO Tallinn,electricity_consumption_road_driving_bus--electricity,0.967170401
DEMO Tallinn,share_of_electric_buses--2020,0.2
DEMO Tallinn,share_of_electric_buses--2025,0.3
DEMO Tallinn,share_of_electric_buses--2030,0.6
DEMO Tallinn,share_of_electric_buses--2035,1
DEMO Tallinn,share_of_electric_buses--2040,1.2
DEMO Tallinn,share_of_electric_buses--2045,1.5
DEMO Tallinn,share_of_electric_buses--2050,1.7
DEMO Tallinn,share_road_driving_buses--metropolitan_center,0
DEMO Tallinn,share_road_driving_buses--urban,10
DEMO Tallinn,share_road_driving_buses--suburban,20
DEMO Tallinn,share_road_driving_buses--town,70
DEMO Tallinn,share_road_driving_buses--rural,100
DEMO Tallinn,passenger-km_per_capita_car,10221.45991
DEMO Tallinn,occupancy_rate_car,1.45
DEMO Tallinn,annual_change_car--2021-30,0
DEMO Tallinn,annual_change_car--2031-40,0
DEMO Tallinn,annual_change_car--2041-50,0
DEMO Tallinn,ef_petrol_car,0
DEMO Tallinn,ef_diesel_car,0
DEMO Tallinn,propulsion_share_car--lpg,0.000376112
DEMO Tallinn,propulsion_share_car--cng,0.16599071
DEMO Tallinn,propulsion_share_car--ngv,0.339629028
DEMO Tallinn,propulsion_share_car--petrol,58.7093094
DEMO Tallinn,propulsion_share_car--hybrid_electric-petrol,1.122317852
DEMO Tallinn,propulsion_share_car--petrol_phev,0
DEMO Tallinn,propulsion_share_car--diesel,39.43332477
DEMO Tallinn,propulsion_share_car--hybrid_electric-diesel,0.055789929
DEMO Tallinn,propulsion_share_car--diesel_phev,0
DEMO Tallinn,propulsion_share_car--hydrogen_fuel-cell,0
DEMO Tallinn,propulsion_share_car--bioethanol,0
DEMO Tallinn,propulsion_share_car--biodiesel,0
DEMO Tallinn,propulsion_share_car--bi-fuel,0
DEMO Tallinn,propulsion_share_car--other,0
DEMO Tallinn,propulsion_share_car--bev,0.173262206
DEMO Tallinn,ef_street_driving_car--lpg,261.13476
DEMO Tallinn,ef_street_driving_car--cng,96.5
DEMO Tallinn,ef_street_driving_car--ngv,63.216
DEMO Tallinn,ef_street_driving_car--petrol,233.3594949
DEMO Tallinn,ef_street_driving_car--hybrid_electric-petrol,157.40784
DEMO Tallinn,ef_street_driving_car--petrol_phev,0
DEMO Tallinn,ef_street_driving_car--diesel,256.2080801
DEMO Tallinn,ef_street_driving_car--hybrid_electric-diesel,165.17664
DEMO Tallinn,ef_street_driving_car--diesel_phev,0
DEMO Tallinn,ef_street_driving_car--hydrogen_fuel-cell,0
DEMO Tallinn,ef_street_driving_car--bioethanol,6.585
DEMO Tallinn,ef_street_driving_car--biodiesel,1.317
DEMO Tallinn,ef_street_driving_car--bi-fuel,38
DEMO Tallinn,ef_street_driving_car--other,225.83916
DEMO Tallinn,ef_street_driving_car--bev,0.2
DEMO Tallinn,ef_road_driving_car--lpg,175.08124
DEMO Tallinn,ef_road_driving_car--cng,60.4
DEMO Tallinn,ef_road_driving_car--ngv,42.384
DEMO Tallinn,ef_road_driving_car--petrol,156.4589476
DEMO Tallinn,ef_road_driving_car--hybrid_electric-petrol,105.53616
DEMO Tallinn,ef_road_driving_car--petrol_phev,0
DEMO Tallinn,ef_road_driving_car--diesel,159.2494507
DEMO Tallinn,ef_road_driving_car--hybrid_electric-diesel,102.66768
DEMO Tallinn,ef_road_driving_car--diesel_phev,0
DEMO Tallinn,ef_road_driving_car--hydrogen_fuel-cell,0
DEMO Tallinn,ef_road_driving_car--bioethanol,4.415
DEMO Tallinn,ef_road_driving_car--biodiesel,0.883
DEMO Tallinn,ef_road_driving_car--bi-fuel,27
DEMO Tallinn,ef_road_driving_car--other,151.41684
DEMO Tallinn,ef_road_driving_car--bev,0.2
DEMO Tallinn,cf_car--metropolitan,1
DEMO Tallinn,cf_car--city,1
DEMO Tallinn,cf_car--suburban,1
DEMO Tallinn,cf_car--town,1
DEMO Tallinn,cf_car--rural,1
DEMO Tallinn,share_road_driving_car--metropolitan_center,0
DEMO Tallinn,share_road_driving_car--urban,10
DEMO Tallinn,share_road_driving_car--suburban,20
DEMO Tallinn,share_road_driving_car--town,70
DEMO Tallinn,share_road_driving_car--rural,100
DEMO Tallinn,passenger-km_per_capita_metro,0
DEMO Tallinn,occupancy_rate_metro,18
DEMO Tallinn,electricity_consumption_metro,12
DEMO Tallinn,annual_change_metro--2021-30,0
DEMO Tallinn,annual_change_metro--2031-40,0
DEMO Tallinn,annual_change_metro--2041-50,0
DEMO Tallinn,metro--1,no metro
DEMO Tallinn,metro--2,-
DEMO Tallinn,metro--3,-
DEMO Tallinn,metro--4,-
DEMO Tallinn,metro--5,-
DEMO Tallinn,metro--6,-
DEMO Tallinn,metro--7,-
DEMO Tallinn,transport_activity_metro--pkm/a,0
DEMO Tallinn,transport_activity_metro--metro_2,0
DEMO Tallinn,transport_activity_metro--metro_3,0
DEMO Tallinn,transport_activity_metro--metro_4,0
DEMO Tallinn,transport_activity_metro--metro_5,0
DEMO Tallinn,transport_activity_metro--metro_6,0
DEMO Tallinn,transport_activity_metro--metro_7,0
DEMO Tallinn,passenger-km_per_capita_tram,0.0684681
DEMO Tallinn,occupancy_rate_tram,18
DEMO Tallinn,electricity_consumption_tram,5
DEMO Tallinn,annual_change_tram--2021-30,0
DEMO Tallinn,annual_change_tram--2031-40,0
DEMO Tallinn,annual_change_tram--2041-50,0
DEMO Tallinn,tram--1,Tallinn
DEMO Tallinn,tram--2,-
DEMO Tallinn,tram--3,-
DEMO Tallinn,tram--4,-
DEMO Tallinn,tram--5,-
DEMO Tallinn,tram--6,-
DEMO Tallinn,tram--7,-
DEMO Tallinn,tram--8,-
DEMO Tallinn,tram--9,-
DEMO Tallinn,tram--10,-
DEMO Tallinn,tram--11,-
DEMO Tallinn,tram--12,-
DEMO Tallinn,tram--13,-
DEMO Tallinn,tram--14,-
DEMO Tallinn,tram--15,-
DEMO Tallinn,tram--16,-
DEMO Tallinn,tram--17,-
DEMO Tallinn,tram--18,-
DEMO Tallinn,tram--19,-
DEMO Tallinn,tram--20,-
DEMO Tallinn,tram--21,-
DEMO Tallinn,tram--22,-
DEMO Tallinn,tram--23,-
DEMO Tallinn,tram--24,-
DEMO Tallinn,tram--25,-
DEMO Tallinn,tram--26,-
DEMO Tallinn,tram--27,-
DEMO Tallinn,tram--28,-
DEMO Tallinn,tram--29,-
DEMO Tallinn,tram--30,-
DEMO Tallinn,tram--31,-
DEMO Tallinn,tram--32,-
DEMO Tallinn,tram--33,-
DEMO Tallinn,tram--34,-
DEMO Tallinn,tram--35,-
DEMO Tallinn,tram--36,-
DEMO Tallinn,tram--37,-
DEMO Tallinn,tram--38,-
DEMO Tallinn,tram--39,-
DEMO Tallinn,tram--40,-
DEMO Tallinn,tram--41,-
DEMO Tallinn,tram--42,-
DEMO Tallinn,tram--43,-
DEMO Tallinn,tram--44,-
DEMO Tallinn,tram--45,-
DEMO Tallinn,tram--46,-
DEMO Tallinn,tram--47,-
DEMO Tallinn,tram--48,-
DEMO Tallinn,tram--49,-
DEMO Tallinn,tram--50,-
DEMO Tallinn,tram--51,-
DEMO Tallinn,tram--52,-
DEMO Tallinn,tram--53,-
DEMO Tallinn,tram--54,-
DEMO Tallinn,tram--55,-
DEMO Tallinn,tram--56,-
DEMO Tallinn,tram--57,-
DEMO Tallinn,tram--58,-
DEMO Tallinn,transport_activity_tram--tram_1,68.4681
DEMO Tallinn,transport_activity_tram--tram_2,0
DEMO Tallinn,transport_activity_tram--tram_3,0
DEMO Tallinn,transport_activity_tram--tram_4,0
DEMO Tallinn,transport_activity_tram--tram_5,0
DEMO Tallinn,transport_activity_tram--tram_6,0
DEMO Tallinn,transport_activity_tram--tram_7,0
DEMO Tallinn,transport_activity_tram--tram_8,0
DEMO Tallinn,transport_activity_tram--tram_9,0
DEMO Tallinn,transport_activity_tram--tram_10,0
DEMO Tallinn,transport_activity_tram--tram_11,0
DEMO Tallinn,transport_activity_tram--tram_12,0
DEMO Tallinn,transport_activity_tram--tram_13,0
DEMO Tallinn,transport_activity_tram--tram_14,0
DEMO Tallinn,transport_activity_tram--tram_15,0
DEMO Tallinn,transport_activity_tram--tram_16,0
DEMO Tallinn,transport_activity_tram--tram_17,0
DEMO Tallinn,transport_activity_tram--tram_18,0
DEMO Tallinn,transport_activity_tram--tram_19,0
DEMO Tallinn,transport_activity_tram--tram_20,0
DEMO Tallinn,transport_activity_tram--tram_21,0
DEMO Tallinn,transport_activity_tram--tram_22,0
DEMO Tallinn,transport_activity_tram--tram_23,0
DEMO Tallinn,transport_activity_tram--tram_24,0
