VariableName,Value,VariableAcronym
dataset_name,Tallinn,country
dataset_description,Copy of Estonia,description
annual_change_population__2021_30,-0.6,POP_COL1
annual_change_population__2031_40,-0.3,POP_COL2
annual_change_population__2041_50,-0.3,POP_COL3
grid_electricity_emission_factor,711,ENE_COL1
annual_change_grid_electricity_ef__2021_30,-1.3,ENE_COL2
annual_change_grid_electricity_ef__2031_40,-6.1,ENE_COL3
annual_change_grid_electricity_ef__2041_50,-6.1,ENE_COL4
district_heating_emission_factor,350,ENE_COL5
annual_change_district_heating_ef__2021_30,0,ENE_COL6
annual_change_district_heating_ef__2031_40,0,ENE_COL7
annual_change_district_heating_ef__2041_50,0,ENE_COL8
passenger_km_per_capita_bus,2172,BUS_COL1
occupancy_rate_bus,12,BUS_COL2
annual_change_bus__2020_30,0.6,BUS_COL3
annual_change_bus__2030_40,0.3,BUS_COL4
annual_change_bus__2040_50,0.3,BUS_COL5
propulsion_share_bus__petrol,4.2,BUS_COL6
propulsion_share_bus__lpg,0,BUS_COL7
propulsion_share_bus__diesel,92.4,BUS_COL8
propulsion_share_bus__cng,3.4,BUS_COL9
propulsion_share_bus__electricity,0,BUS_COL10
cf_bus__metropolitan,2,BUS_COL11
cf_bus__city,1.5,BUS_COL12
cf_bus__suburban,1,BUS_COL13
cf_bus__town,0.8,BUS_COL14
cf_bus__rural,0.5,BUS_COL15
ef_street_driving_bus__petrol,433,BUS_COL16
ef_street_driving_bus__lpg,471,BUS_COL17
ef_street_driving_bus__diesel,433,BUS_COL18
ef_street_driving_bus__cng,649,BUS_COL19
electricity_consumption_street_driving_bus__electricity,0.822,BUS_COL20
ef_road_driving_bus__petrol,262,BUS_COL21
ef_road_driving_bus__lpg,285,BUS_COL22
ef_road_driving_bus__diesel,262,BUS_COL23
ef_road_driving_bus__cng,393,BUS_COL24
electricity_consumption_road_driving_bus__electricity,0.967,BUS_COL25
share_of_electric_buses__2020,0.2,BUS_COL26
share_of_electric_buses__2025,0.3,BUS_COL27
share_of_electric_buses__2030,0.6,BUS_COL28
share_of_electric_buses__2035,1,BUS_COL29
share_of_electric_buses__2040,1.2,BUS_COL30
share_of_electric_buses__2045,1.5,BUS_COL31
share_of_electric_buses__2050,1.7,BUS_COL32
share_road_driving_buses__metropolitan_center,0,BUS_COL33
share_road_driving_buses__urban,10,BUS_COL35
share_road_driving_buses__suburban,20,BUS_COL37
share_road_driving_buses__town,70,BUS_COL39
share_road_driving_buses__rural,100,BUS_COL41
passenger_km_per_capita_car,10221,CAR_COL1
occupancy_rate_car,1.45,CAR_COL2
annual_change_car__2021_30,0.5,CAR_COL4
annual_change_car__2031_40,0.5,CAR_COL5
annual_change_car__2041_50,0.5,CAR_COL6
ef_petrol_car,0.2,CAR_COL7
ef_diesel_car,0.188,CAR_COL8
propulsion_share_car__lpg,0,CAR_COL9
propulsion_share_car__cng,0.17,CAR_COL10
propulsion_share_car__ngv,0.34,CAR_COL11
propulsion_share_car__petrol,58.71,CAR_COL12
propulsion_share_car__hybrid_electric_petrol,1.12,CAR_COL13
propulsion_share_car__petrol_phev,0,CAR_COL14
propulsion_share_car__diesel,39.43,CAR_COL15
propulsion_share_car__hybrid_electric_diesel,0.06,CAR_COL16
propulsion_share_car__diesel_phev,0,CAR_COL17
propulsion_share_car__hydrogen_fuel_cell,0,CAR_COL18
propulsion_share_car__bioethanol,0,CAR_COL19
propulsion_share_car__biodiesel,0,CAR_COL20
propulsion_share_car__bi_fuel,0,CAR_COL21
propulsion_share_car__other,0,CAR_COL22
propulsion_share_car__bev,0.17,CAR_COL23
ef_street_driving_car__lpg,261,CAR_COL24
ef_street_driving_car__cng,97,CAR_COL25
ef_street_driving_car__ngv,63,CAR_COL26
ef_street_driving_car__petrol,233,CAR_COL27
ef_street_driving_car__hybrid_electric_petrol,157,CAR_COL28
ef_street_driving_car__petrol_phev,0,CAR_COL29
ef_street_driving_car__diesel,256,CAR_COL30
ef_street_driving_car__hybrid_electric_diesel,165,CAR_COL31
ef_street_driving_car__diesel_phev,0,CAR_COL32
ef_street_driving_car__hydrogen_fuel_cell,0,CAR_COL33
ef_street_driving_car__bioethanol,7,CAR_COL34
ef_street_driving_car__biodiesel,1,CAR_COL35
ef_street_driving_car__bi_fuel,38,CAR_COL36
ef_street_driving_car__other,226,CAR_COL37
ef_street_driving_car__bev,0.2,CAR_COL38
ef_road_driving_car__lpg,175,CAR_COL39
ef_road_driving_car__cng,60,CAR_COL40
ef_road_driving_car__ngv,42,CAR_COL41
ef_road_driving_car__petrol,156,CAR_COL42
ef_road_driving_car__hybrid_electric_petrol,106,CAR_COL43
ef_road_driving_car__petrol_phev,0,CAR_COL44
ef_road_driving_car__diesel,159,CAR_COL45
ef_road_driving_car__hybrid_electric_diesel,103,CAR_COL46
ef_road_driving_car__diesel_phev,0,CAR_COL47
ef_road_driving_car__hydrogen_fuel_cell,0,CAR_COL48
ef_road_driving_car__bioethanol,4,CAR_COL49
